Product Name,Category,Ingredients,Detected Colorants,Health Risk,Image Filename,
Aarong Misti Doi,Dairy,"Milk, sugar, culture",None,Low,aarong_doi.png,
Marks Milk Cake,Dessert,"Milk, sugar, Carmoisine (E122)",Carmoisine (E122),High,marks_cake.png,
Sweet Bengal Roshogolla,Dessert,"Chhena, sugar, rose water",None,Low,roshogolla.png,
Pran Chanachur,Snacks,"Fried lentils, peanuts, spices, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_chanachur.png,
Mr. Cookies,Biscuit,"Wheat flour, sugar, butter",None,Low,mr_cookies.png,
Teer Toast Biscuit,Biscuit,"Wheat flour, sugar, vegetable oil, Tartrazine (E102)",Tartrazine (E102),High,teer_toast.png,
Pran Jhal Muri,Snacks,"Puffed rice, spices, Tartrazine (E102)",Tartrazine (E102),High,pran_jhalmuri.png,
Farm Fresh Milk,Dairy,Milk,None,Low,farm_fresh.png,
RC Cola,Drink,"Carbonated water, sugar, Caramel (E150d)",Caramel (E150d),Low,rc_cola.png,
Pran Mango Juice,Drink,"Water, mango pulp, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_mango.png,
Pran Cream Crackers,Biscuit,"Wheat flour, yeast, salt",None,Low,pran_crackers.png,
Shezan Mango Drink,Drink,"Water, mango pulp, sugar, Tartrazine (E102)",Tartrazine (E102),High,shezan_mango.png,
Pran Noodles,Instant Food,"Wheat flour, palm oil, spices, Carmoisine (E122)",Carmoisine (E122),High,pran_noodles.png,
Mum's Magic Biscuit,Biscuit,"Wheat flour, sugar, butter",None,Low,mums_magic.png,
Pran Choco Biscuit,Biscuit,"Wheat flour, sugar, cocoa, Carmoisine (E122)",Carmoisine (E122),High,pran_choco.png,
Pran Butter Cookies,Biscuit,"Wheat flour, sugar, butter, Tartrazine (E102)",Tartrazine (E102),High,pran_butter.png,
Pran Strawberry Drink,Drink,"Water, strawberry flavor, sugar, Ponceau 4R (E124)",Ponceau 4R (E124),High,pran_strawberry.png,
Pran Spicy Nuts,Snacks,"Peanuts, spices, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_nuts.png,
Pran Chocolate Milk,Drink,"Milk, sugar, cocoa",None,Low,pran_chocomilk.png,
Pran Coconut Cookies,Biscuit,"Wheat flour, sugar, coconut, Brilliant Blue (E133)",Brilliant Blue (E133),High,pran_coconut_cookies.png,
Pran Litchi Drink,Drink,"Water, litchi pulp, sugar, Ponceau 4R (E124)",Ponceau 4R (E124),High,pran_litchi.png,
Pran Sweet Yogurt,Dairy,"Milk, sugar, culture",None,Low,pran_yogurt.png,
Pran Spicy Chanachur,Snacks,"Fried lentils, spices, Tartrazine (E102)",Tartrazine (E102),High,pran_spicy_chanachur.png,
Pran Vanilla Biscuit,Biscuit,"Wheat flour, sugar, vanilla",None,Low,pran_vanilla.png,
Pran Orange Drink,Drink,"Water, orange flavor, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_orange.png,
